"","X","FlightNum","depart","arrive","dehour","deminute","arhour","arminute","label","locate","city"
"1",1,"EK303","上海浦东T2","迪拜",0,5,4,55,0,"国际及港澳台","迪拜"
"2",2,"MU219","上海浦东T1","法兰克福",0,5,6,5,0,"国际及港澳台","法兰克福"
"3",3,"AF3765","上海浦东T1","巴黎",0,5,6,30,0,"国际及港澳台","巴黎"
"4",4,"MU553","上海浦东T1","巴黎",0,5,6,30,0,"国际及港澳台","巴黎"
"5",5,"ET685","上海浦东T2","亚的斯亚贝巴",0,20,6,50,1,"国际及港澳台","亚的斯亚贝巴"
"6",6,"CA5065","上海浦东T2","亚的斯亚贝巴",0,20,6,50,1,"国际及港澳台","亚的斯亚贝巴"
"7",7,"EY867","上海浦东T2","阿布扎比",0,30,6,25,2,"国际及港澳台","阿布扎比"
"8",8,"AB4083","上海浦东T2","阿布扎比",0,30,6,25,2,"国际及港澳台","阿布扎比"
"9",9,"HU8808","上海浦东T2","阿布扎比",0,30,6,25,2,"国际及港澳台","阿布扎比"
"10",10,"AZ5762","上海浦东T2","阿布扎比",0,30,6,25,2,"国际及港澳台","阿布扎比"
"11",11,"MU8968","上海浦东T2","阿布扎比",0,30,6,25,2,"国际及港澳台","阿布扎比"
"12",12,"VA5545","上海浦东T2","新加坡",0,35,5,55,2,"国际及港澳台","新加坡"
"13",13,"SQ825","上海浦东T2","新加坡",0,35,5,55,2,"国际及港澳台","新加坡"
"14",14,"QR871","上海浦东T2","多哈",0,50,4,50,3,"国际及港澳台","多哈"
"15",15,"LH7061","上海浦东T2","慕尼黑",1,0,7,10,4,"国际及港澳台","慕尼黑"
"16",16,"5J679","上海浦东T2","马尼拉",1,5,4,30,4,"国际及港澳台","马尼拉"
"17",17,"UL867","上海浦东T1","科伦坡",1,10,5,55,4,"国际及港澳台","科伦坡"
"18",18,"D7331","上海浦东T2","吉隆坡",1,20,6,40,5,"国际及港澳台","吉隆坡"
"19",19,"TP8339","上海浦东T2","米兰",1,30,8,5,6,"国际及港澳台","米兰"
"20",20,"CA967","上海浦东T2","米兰",1,30,8,5,6,"国际及港澳台","米兰"
"21",21,"MU8154","上海浦东T1","莫斯科F",1,40,6,20,6,"国际及港澳台","莫斯科"
"22",22,"SU207","上海浦东T2","莫斯科",1,40,6,20,6,"国际及港澳台","莫斯科"
"23",23,"LV199","上海浦东T2","马累",6,20,11,20,25,"国际及港澳台","马累"
"24",24,"Z229","上海浦东T1","卡利博",6,45,10,35,27,"国际及港澳台","卡利博"
"25",25,"ZH1971","上海浦东T2","哈尔滨",6,55,9,55,27,"国内","哈尔滨"
"26",26,"CA1971","上海浦东T2","哈尔滨",6,55,9,55,27,"国内","哈尔滨"
"27",27,"HO1269","上海虹桥T2","池州",6,45,8,5,27,"国内","池州"
"28",28,"MU4033","上海虹桥T2","池州",6,45,8,5,27,"国内","池州"
"29",29,"ZH5077","上海虹桥T2","青岛T1",6,45,8,30,27,"国内","青岛"
"30",30,"HO1195","上海虹桥T2","青岛T1",6,45,8,30,27,"国内","青岛"
"31",31,"MU3933","上海虹桥T2","青岛T1",6,45,8,30,27,"国内","青岛"
"32",32,"MU9537","上海虹桥T2","三亚",6,45,10,5,27,"国内","三亚"
"33",33,"FM9537","上海虹桥T2","三亚",6,45,10,5,27,"国内","三亚"
"34",34,"HO1269","上海虹桥T2","成都T2",6,45,10,40,27,"国内","成都"
"35",35,"MU4033","上海虹桥T2","成都T2",6,45,10,40,27,"国内","成都"
"36",36,"FM9231","上海虹桥T2","青岛T2",6,50,8,30,27,"国内","青岛"
"37",37,"MU9231","上海虹桥T2","青岛T2",6,50,8,30,27,"国内","青岛"
"38",38,"9C8815","上海虹桥T1","厦门T4",6,50,8,25,27,"国内","厦门"
"39",39,"FM9231","上海虹桥T2","丹东",6,50,11,15,27,"国内","丹东"
"40",40,"MU9231","上海虹桥T2","丹东",6,50,11,15,27,"国内","丹东"
"41",41,"FM9263","上海虹桥T2","厦门T4",6,55,8,45,27,"国内","厦门"
"42",42,"MU9263","上海虹桥T2","厦门T4",6,55,8,45,27,"国内","厦门"
"43",43,"MU5507","上海虹桥T2","福州",6,55,8,20,27,"国内","福州"
"44",44,"9C8779","上海虹桥T1","三亚",6,55,9,55,27,"国内","三亚"
"45",45,"HO1075","上海浦东T2","西宁T2",7,0,10,30,28,"国内","西宁"
"46",46,"CZ6172","上海浦东T2","武汉T2",7,5,8,55,28,"国内","武汉"
"47",47,"MF1910","上海浦东T2","武汉T2",7,5,8,55,28,"国内","武汉"
"48",48,"MU3594","上海浦东T2","武汉T2",7,5,8,55,28,"国内","武汉"
"49",49,"9C8859","上海浦东T2","哈尔滨",7,5,9,55,28,"国内","哈尔滨"
"50",50,"HO1069","上海浦东T2","郑州",7,10,8,55,28,"国内","郑州"
"51",51,"KN5988","上海浦东T1","北京南苑",7,10,9,10,28,"国内","北京"
"52",52,"MU3812","上海浦东T1","北京南苑",7,10,9,10,28,"国内","北京"
"53",53,"CZ6578","上海浦东T2","贵阳T2",7,5,9,45,28,"国内","贵阳"
"54",54,"MU3694","上海浦东T2","贵阳T2",7,5,9,45,28,"国内","贵阳"
"55",55,"MF1546","上海浦东T2","贵阳T2",7,5,9,45,28,"国内","贵阳"
"56",56,"MU5137","上海虹桥T2","北京T2",7,0,9,20,28,"国内","北京"
"57",57,"CZ9306","上海虹桥T2","北京T2",7,0,9,20,28,"国内","北京"
"58",58,"9C8821","上海虹桥T1","青岛T1",7,5,8,50,28,"国内","青岛"
"59",59,"9C8871","上海虹桥T1","晋江",7,10,8,40,28,"国内","晋江"
"60",60,"9C8845","上海虹桥T1","西安T3",7,10,9,45,28,"国内","西安"
"61",61,"9C8845","上海虹桥T1","乌鲁木齐T1",7,10,14,5,28,"国内","乌鲁木齐"
"62",62,"CA3225","上海虹桥T2","贵阳T2",7,10,9,55,28,"国内","贵阳"
"63",63,"HO1207","上海虹桥T2","贵阳T2",7,10,9,55,28,"国内","贵阳"
"64",64,"MU3997","上海虹桥T2","贵阳T2",7,10,9,55,28,"国内","贵阳"
"65",65,"9C8839","上海浦东T2","沈阳T3",7,15,9,40,29,"国内","沈阳"
"66",66,"EK305","上海浦东T2","迪拜",7,15,12,5,29,"国际及港澳台","迪拜"
"67",67,"LJ102","上海浦东T1","济州岛I",7,20,9,30,29,"国际及港澳台","济州岛"
"68",68,"HO1163","上海浦东T2","大连",7,20,9,15,29,"国内","大连"
"69",69,"CZ3335","上海浦东T2","西安T3",7,25,9,40,29,"国内","西安"
"70",70,"9C8843","上海浦东T2","大连",7,25,9,20,29,"国内","大连"
"71",71,"MF4651","上海浦东T2","昆明",7,25,10,55,29,"国内","昆明"
"72",72,"CZ3677","上海浦东T2","昆明",7,25,10,55,29,"国内","昆明"
"73",73,"CZ8357","上海浦东T2","西宁",7,25,10,50,29,"国内","西宁"
"74",74,"MU4603","上海浦东T2","郑州",7,15,8,55,29,"国内","郑州"
"75",75,"CZ8335","上海浦东T2","郑州",7,15,8,55,29,"国内","郑州"
"76",76,"MF5085","上海浦东T2","郑州",7,15,8,55,29,"国内","郑州"
"77",77,"MU3650","上海浦东T2","长春",7,25,9,55,29,"国内","长春"
"78",78,"CZ6374","上海浦东T2","长春",7,25,9,55,29,"国内","长春"
"79",79,"MF4082","上海浦东T2","长春",7,25,9,55,29,"国内","长春"
"80",80,"9C8835","上海虹桥T1","广州A区",7,15,9,35,29,"国内","广州"
"81",81,"MU5389","上海虹桥T2","洛阳",7,15,9,10,29,"国内","洛阳"
"82",82,"CZ9464","上海虹桥T2","洛阳",7,15,9,10,29,"国内","洛阳"
"83",83,"9C8819","上海虹桥T1","珠海",7,15,9,50,29,"国内","珠海"
"84",84,"9C8897","上海虹桥T1","重庆T2B",7,20,9,55,29,"国内","重庆"
"85",85,"9C8917","上海虹桥T1","深圳T3",7,20,9,35,29,"国内","深圳"
"86",86,"9C8903","上海虹桥T1","石家庄T2",7,25,9,35,29,"国内","石家庄"
"87",87,"CZ9493","上海虹桥T2","呼和浩特",7,25,10,20,29,"国内","呼和浩特"
"88",88,"MU5459","上海虹桥T2","呼和浩特",7,25,10,20,29,"国内","呼和浩特"
"89",89,"CZ9493","上海虹桥T2","乌海",7,25,12,20,29,"国内","乌海"
"90",90,"MU5459","上海虹桥T2","乌海",7,25,12,20,29,"国内","乌海"
"91",91,"9C8827","上海虹桥T1","怀化",7,25,9,40,29,"国内","怀化"
"92",92,"9C8827","上海虹桥T1","昆明",7,25,11,50,29,"国内","昆明"
"93",93,"ZH5031","上海虹桥T2","南宁T2",7,20,10,15,29,"国内","南宁"
"94",94,"MU3955","上海虹桥T2","南宁T2",7,20,10,15,29,"国内","南宁"
"95",95,"HO1171","上海虹桥T2","南宁T2",7,20,10,15,29,"国内","南宁"
"96",96,"9C8609","上海浦东T2","烟台",7,30,9,10,30,"国内","烟台"
